时间 (s),高度 (m),垂直速度 (m/s),垂直加速度 (m/s²),总速度 (m/s),总加速度 (m/s²),平行风位置 (m),迎风位置 (m),横向跨距 (m),水平方向 (°),横向速度 (m/s),横向加速度 (m/s²),纬度 (°),经度 (°),重力加速度 (m/s²),攻角 (°),滚转角速度 (°/s),俯仰角速度 (°/s),偏航角速度 (°/s),质量 (g),推进剂质量 (g),纵向转动惯量 (kg·m²),横向转动惯量 (kg·m²),CP 压心位置 (cm),CG 重心位置 (cm),稳定裕量 (​),马赫数 (​),雷诺数 (​),推力 (N),阻力 (N),阻力系数 (​),轴向阻力系数 (​),摩擦阻力系数 (​),压差阻力系数 (​),基准阻力系数 (​),法向力系数 (​),俯仰力矩系数 (​),偏航力矩系数 (​),侧向力系数 (​),滚转力矩系数 (​),滚转力系数 (​),滚转阻尼系数 (​),俯仰阻尼系数 (​),科里奥利加速度 (m/s²),参考长度 (cm),参考面积 (cm²),垂直方向 (天顶角) (°),水平方向 (方位角) (°),风速 (m/s),空气温度 (°C),空气压力 (mbar),音速 (m/s),模拟时间步 (s),计算时间 (s)
0.01,-4.769e-4,-0.095,-9.536,0.096,9.588,-5.013e-5,0,5.013e-5,180,0.01,1.002,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.688,NaN,2.817e-4,1.739e4,3.946,-1.506e-4,1.235,-1.235,0.902,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.003
0.02,-4.778e-4,-0.096,-9.556,0.096,9.609,-5.022e-5,0,5.022e-5,180,0.01,1.004,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.688,NaN,2.823e-4,1.743e4,3.399,-1.511e-4,1.235,-1.235,0.902,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.003
0.03,-4.763e-4,-0.095,-9.527,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.688,NaN,2.814e-4,1.737e4,4.196,-1.503e-4,1.236,-1.236,0.903,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.004
0.04,-4.778e-4,-0.096,-9.556,0.096,9.608,-5.022e-5,0,5.022e-5,180,0.01,1.004,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.688,NaN,2.823e-4,1.743e4,3.408,-1.511e-4,1.235,-1.235,0.902,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.004
0.05,-4.774e-4,-0.095,-9.547,0.096,9.6,-5.017e-5,0,5.017e-5,180,0.01,1.003,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.687,NaN,2.82e-4,1.741e4,3.638,-1.509e-4,1.235,-1.235,0.902,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.004
0.06,-4.77e-4,-0.095,-9.539,0.096,9.592,-5.013e-5,0,5.013e-5,180,0.01,1.003,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.687,NaN,2.818e-4,1.74e4,3.848,-1.507e-4,1.235,-1.235,0.902,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.004
0.07,-4.773e-4,-0.095,-9.547,0.096,9.599,-5.017e-5,0,5.017e-5,180,0.01,1.003,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.687,NaN,2.82e-4,1.741e4,3.653,-1.509e-4,1.235,-1.235,0.902,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.005
0.08,-4.764e-4,-0.095,-9.528,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.687,NaN,2.815e-4,1.738e4,4.165,-1.503e-4,1.236,-1.236,0.902,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.005
0.09,-4.766e-4,-0.095,-9.532,0.096,9.585,-5.009e-5,0,5.009e-5,180,0.01,1.002,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.687,NaN,2.816e-4,1.739e4,4.039,-1.505e-4,1.236,-1.236,0.902,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.005
0.1,-4.773e-4,-0.095,-9.545,0.096,9.598,-5.016e-5,0,5.016e-5,180,0.01,1.003,22,120,9.788,180,0,0,0,2.71e4,1.35e4,19.66,0.099,NaN,183.687,NaN,2.82e-4,1.741e4,3.684,-1.508e-4,1.235,-1.235,0.902,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.6,216.424,84,0,0,15,1013.25,340.389,0.01,0.006
