Time,Altitude,Vertical_Velocity,Acceleration,Pressure
0.01,-4.772e-4,-0.095,-9.541,1013.25
0.02,-4.78e-4,-0.096,-9.561,1013.25
0.03,-4.766e-4,-0.095,-9.532,1013.25
0.04,-4.78e-4,-0.096,-9.561,1013.25
0.05,-4.776e-4,-0.096,-9.552,1013.25
0.06,-4.772e-4,-0.095,-9.545,1013.25
0.07,-4.776e-4,-0.096,-9.552,1013.25
0.08,-4.766e-4,-0.095,-9.533,1013.25
0.09,-4.769e-4,-0.095,-9.538,1013.25
0.1,-4.775e-4,-0.096,-9.551,1013.25
0.11,-4.763e-4,-0.095,-9.525,1013.25
0.12,-4.773e-4,-0.095,-9.545,1013.25
0.13,-4.76e-4,-0.095,-9.521,1013.25
0.14,-4.765e-4,-0.095,-9.53,1013.25
0.15,-4.766e-4,-0.095,-9.533,1013.25
0.16,-4.754e-4,-0.095,-9.508,1013.25
0.17,-4.764e-4,-0.095,-9.528,1013.25
0.18,-4.747e-4,-0.095,-9.494,1013.25
0.19,-4.759e-4,-0.095,-9.517,1013.25
0.2,-4.751e-4,-0.095,-9.501,1013.25
0.21,-4.737e-4,-0.095,-9.474,1013.25
0.22,-4.745e-4,-0.095,-9.491,1013.25
0.23,-4.727e-4,-0.095,-9.454,1013.25
0.24,-4.741e-4,-0.095,-9.483,1013.25
0.25,-4.73e-4,-0.095,-9.461,1013.25
0.26,-4.721e-4,-0.094,-9.442,1013.25
0.27,-4.728e-4,-0.095,-9.455,1013.25
0.28,-4.708e-4,-0.094,-9.415,1013.25
0.29,-4.714e-4,-0.094,-9.428,1013.25
0.3,-4.704e-4,-0.094,-9.408,1013.25
0.31,-4.686e-4,-0.094,-9.372,1013.25
0.32,-4.688e-4,-0.094,-9.376,1013.25
0.33,-4.663e-4,-0.093,-9.326,1013.25
0.34,-4.659e-4,-0.093,-9.319,1013.25
0.35,-4.65e-4,-0.093,-9.301,1013.25
0.36,-4.616e-4,-0.092,-9.233,1013.25
0.37,-4.607e-4,-0.092,-9.215,1013.25
0.38,-4.577e-4,-0.092,-9.154,1013.25
0.39,-4.555e-4,-0.091,-9.111,1013.25
0.4,-4.536e-4,-0.091,-9.073,1013.25
0.41,-4.5e-4,-0.09,-9,1013.25
