Time,Average Thrust
0,0.507
0.001,0.507
0.002,0.473
0.003,0.494
0.004,0.492
0.005,0.516
0.006,0.492
0.007,0.441
0.008,0.464
0.009,0.490
0.01,0.511
0.011,0.530
0.012,0.426
0.013,0.426
0.014,0.443
0.015,0.400
0.016,0.498
0.017,0.524
0.018,0.382
0.019,0.419
0.02,0.491
0.021,0.441
0.022,0.454
0.023,0.432
0.024,0.394
0.025,0.457
0.026,0.488
0.027,0.400
0.028,0.393
0.029,0.506
0.03,0.437
0.031,0.434
0.032,0.466
0.033,0.356
0.034,0.444
0.035,0.494
0.036,0.454
0.037,0.409
0.038,0.379
0.039,0.458
0.04,0.441
0.041,0.502
0.042,0.460
0.043,0.390
0.044,0.494
0.045,0.491
0.046,0.432
0.047,0.429
0.048,0.443
0.049,0.432
0.05,0.474
0.051,0.506
0.052,0.465
0.053,0.494
0.054,0.543
0.055,0.435
0.056,0.415
0.057,0.533
0.058,0.442
0.059,0.486
0.06,0.435
0.061,0.361
0.062,0.428
0.063,0.498
0.064,0.447
0.065,0.522
0.066,0.475
0.067,0.406
0.068,0.499
0.069,0.470
0.07,0.403
0.071,0.444
0.072,0.431
0.073,0.457
0.074,0.436
0.075,0.433
0.076,0.397
0.077,0.457
0.078,0.533
0.079,0.545
0.08,0.465
0.081,0.475
0.082,0.543
0.083,0.475
0.084,0.511
0.085,0.417
0.086,0.382
0.087,0.493
0.088,0.497
0.089,0.434
0.09,0.468
0.091,0.445
0.092,0.486
0.093,0.421
0.094,0.483
0.095,0.531
0.096,0.417
0.097,0.401
0.098,0.417
0.099,0.345
0.1,0.441
0.101,0.392
0.102,0.384
0.103,0.401
0.104,0.488
0.105,0.463
0.106,0.470
0.107,0.496
0.108,0.541
0.109,0.432
0.11,0.462
0.111,0.443
0.112,0.416
0.113,0.396
0.114,0.440
0.115,0.469
0.116,0.417
0.117,0.451
0.118,0.518
0.119,0.481
0.12,0.522
0.121,0.530
0.122,0.408
0.123,0.399
0.124,0.499
0.125,0.509
0.126,0.436
0.127,0.445
0.128,0.485
0.129,0.479
0.13,0.521
0.131,0.435
0.132,0.508
0.133,0.511
0.134,0.496
0.135,0.418
0.136,0.398
0.137,0.447
0.138,0.421
0.139,0.406
0.14,0.381
0.141,0.370
0.142,0.479
0.143,0.540
0.144,0.456
0.145,0.432
0.146,0.457
0.147,0.416
0.148,0.496
0.149,0.499
0.15,0.393
0.151,0.448
0.152,0.476
0.153,0.474
0.154,0.481
0.155,0.491
0.156,0.462
0.157,0.475
0.158,0.518
0.159,0.502
0.16,0.439
0.161,0.416
0.162,0.454
0.163,0.433
0.164,0.400
0.165,0.390
0.166,0.387
0.167,0.482
0.168,0.511
0.169,0.419
0.17,0.380
0.171,0.479
0.172,0.466
0.173,0.360
0.174,0.401
0.175,0.490
0.176,0.424
0.177,0.437
0.178,0.450
0.179,0.369
0.18,0.484
0.181,0.462
0.182,0.450
0.183,0.388
0.184,0.462
0.185,0.449
0.186,0.380
0.187,0.462
0.188,0.404
0.189,0.480
0.19,0.455
0.191,0.413
0.192,0.378
0.193,0.428
0.194,0.433
0.195,0.435
