Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.772e-4,-0.095,-9.54,0.096,9.593,-5.015e-5,0,5.015e-5,180,0.01,1.003,22.175,120.893,9.788,85.444,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.011,7.422e5,3.946,1.575e-4,0.696,8.387e-4,0.361,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,3.795,15,1013.25,340.389,0.01,0.004
0.02,-4.78e-4,-0.096,-9.56,0.096,9.613,-5.024e-5,0,5.024e-5,180,0.01,1.005,22.175,120.893,9.788,85.452,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.011,7.395e5,3.399,1.555e-4,0.696,8.346e-4,0.361,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.5,213.825,84,0,3.781,15,1013.25,340.389,0.01,0.005
0.03,-4.766e-4,-0.095,-9.532,0.096,9.584,-5.009e-5,0,5.009e-5,180,0.01,1.002,22.175,120.893,9.788,85.453,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.011,7.368e5,4.196,1.543e-4,0.697,8.343e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,3.767,15,1013.25,340.389,0.01,0.005
0.04,-4.78e-4,-0.096,-9.56,0.096,9.612,-5.024e-5,0,5.024e-5,180,0.01,1.005,22.175,120.893,9.788,85.463,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.011,7.34e5,3.408,1.523e-4,0.697,8.294e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.299e-5,16.5,213.825,84,0,3.753,15,1013.25,340.389,0.01,0.005
0.05,-4.776e-4,-0.096,-9.551,0.096,9.604,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,85.467,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.011,7.313e5,3.638,1.508e-4,0.697,8.274e-4,0.362,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,3.739,15,1013.25,340.389,0.01,0.005
0.06,-4.772e-4,-0.095,-9.544,0.096,9.597,-5.016e-5,0,5.016e-5,180,0.01,1.003,22.175,120.893,9.788,85.452,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.011,7.385e5,3.848,1.552e-4,0.696,8.349e-4,0.361,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,3.776,15,1013.25,340.389,0.01,0.005
0.07,-4.775e-4,-0.096,-9.551,0.096,9.603,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,85.439,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.939,NaN,0.011,7.457e5,3.653,1.594e-4,0.696,8.411e-4,0.361,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,3.812,15,1013.25,340.389,0.01,0.006
0.08,-4.766e-4,-0.095,-9.533,0.096,9.585,-5.01e-5,0,5.01e-5,180,0.01,1.002,22.175,120.893,9.788,85.422,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.011,7.529e5,4.165,1.64e-4,0.695,8.492e-4,0.36,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,3.849,15,1013.25,340.389,0.01,0.006
0.09,-4.769e-4,-0.095,-9.537,0.096,9.59,-5.012e-5,0,5.012e-5,180,0.01,1.002,22.175,120.893,9.788,85.41,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.011,7.601e5,4.039,1.684e-4,0.694,8.554e-4,0.359,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.296e-5,16.5,213.825,84,0,3.886,15,1013.25,340.389,0.01,0.006
0.1,-4.775e-4,-0.095,-9.55,0.096,9.602,-5.019e-5,0,5.019e-5,180,0.01,1.004,22.175,120.893,9.788,85.398,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.011,7.673e5,3.684,1.727e-4,0.694,8.608e-4,0.359,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.298e-5,16.5,213.825,84,0,3.923,15,1013.25,340.389,0.01,0.006
0.11,-4.763e-4,-0.095,-9.525,0.096,9.578,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,85.413,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.011,7.574e5,4.369,1.669e-4,0.695,8.539e-4,0.36,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,16.5,213.825,84,0,3.872,15,1013.25,340.389,0.01,0.007
0.12,-4.772e-4,-0.095,-9.545,0.096,9.597,-5.016e-5,0,5.016e-5,180,0.01,1.003,22.175,120.893,9.788,85.435,0,0,0,2.798e4,1.35e4,21.757,0.099,NaN,201.938,NaN,0.011,7.474e5,3.832,1.605e-4,0.696,8.432e-4,0.36,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297e-5,16.5,213.825,84,0,3.821,15,1013.25,340.389,0.01,0.007
