position(mm),mass(g/mm)
1,4.15087
2,4.15087
3,4.15087
4,4.15087
5,4.15087
6,4.15087
7,4.15087
8,4.15087
9,4.15087
10,4.15087
11,4.15087
12,4.15087
13,4.15087
14,4.15087
15,4.15087
16,4.15087
17,4.15087
18,4.15087
19,4.15087
20,4.15087
21,4.15087
22,4.15087
23,4.15087
24,4.15087
25,4.15087
26,4.15087
27,4.15087
28,4.15087
29,4.15087
30,4.15087
31,4.15087
32,4.15087
33,4.15087
34,4.15087
35,4.15087
36,4.15087
37,4.15087
38,4.15087
39,4.15087
40,4.15087
41,4.15087
42,4.15087
43,4.15087
44,4.15087
45,4.15087
46,4.15087
47,4.15087
48,4.15087
49,4.15087
50,4.15087
51,4.15087
52,4.15087
53,4.15087
54,4.15087
55,4.15087
56,4.15087
57,4.15087
58,4.15087
59,4.15087
60,4.15087
61,4.15087
62,4.15087
63,4.15087
64,4.15087
65,4.15087
66,4.15087
67,4.15087
68,4.15087
69,4.15087
70,4.15087
71,4.15087
72,4.15087
73,4.15087
74,4.15087
75,4.15087
76,4.15087
77,4.15087
78,4.15087
79,4.15087
80,4.15087
81,4.15087
82,4.15087
83,4.15087
84,4.15087
85,4.15087
86,4.15087
87,4.15087
88,4.15087
89,4.15087
90,4.15087
91,4.15087
92,4.15087
93,4.15087
94,4.15087
95,4.15087
96,4.15087
97,4.15087
98,4.15087
99,4.15087
100,4.15087
101,4.15087
102,4.15087
103,4.15087
104,4.15087
105,4.15087
106,4.15087
107,4.15087
108,4.15087
109,4.15087
110,4.15087
111,4.15087
112,4.15087
113,4.15087
114,4.15087
115,4.15087
116,4.15087
117,4.15087
118,4.15087
119,4.15087
120,4.15087
121,4.15087
122,4.15087
123,4.15087
124,4.15087
125,4.15087
126,4.15087
127,4.15087
128,4.15087
129,4.15087
130,4.15087
131,4.15087
132,4.15087
133,4.15087
134,4.15087
135,4.15087
136,4.15087
137,4.15087
138,4.15087
139,4.15087
140,4.15087
141,4.15087
142,4.15087
143,4.15087
144,4.15087
145,4.15087
146,4.15087
147,4.15087
148,4.15087
149,4.15087
150,4.15087
151,4.15087
152,4.15087
153,4.15087
154,4.15087
155,4.15087
156,4.15087
157,4.15087
158,4.15087
159,4.15087
160,4.15087
161,4.15087
162,4.15087
163,4.15087
164,4.15087
165,4.15087
166,4.15087
167,4.15087
168,4.15087
169,4.15087
170,4.15087
171,4.15087
172,4.15087
173,4.15087
174,4.15087
175,4.15087
176,4.15087
177,4.15087
178,4.15087
179,4.15087
180,4.15087
181,4.15087
182,4.15087
183,4.15087
184,4.15087
185,4.15087
186,4.15087
187,4.15087
188,4.15087
189,4.15087
190,4.15087
191,4.15087
192,4.15087
193,4.15087
194,4.15087
195,4.15087
196,4.15087
197,4.15087
198,4.15087
199,4.15087
200,4.15087
201,4.15087
202,4.15087
203,4.15087
204,4.15087
205,4.15087
206,4.15087
207,4.15087
208,4.15087
209,4.15087
210,4.15087
211,4.15087
212,4.15087
213,4.15087
214,4.15087
215,4.15087
216,4.15087
217,4.15087
218,4.15087
219,4.15087
220,4.15087
221,4.15087
222,4.15087
223,4.15087
224,4.15087
225,4.15087
226,4.15087
227,4.15087
228,4.15087
229,4.15087
230,4.15087
231,4.15087
232,4.15087
233,4.15087
234,4.15087
235,4.15087
236,4.15087
237,4.15087
238,4.15087
239,4.15087
240,4.15087
241,4.15087
242,4.15087
243,4.15087
244,4.15087
245,4.15087
246,4.15087
247,4.15087
248,4.15087
249,4.15087
250,4.15087
251,4.15087
252,4.15087
253,4.15087
254,4.15087
255,4.15087
256,4.15087
257,4.15087
258,4.15087
259,4.15087
260,4.15087
261,4.15087
262,4.15087
263,4.15087
264,4.15087
265,4.15087
266,4.15087
267,4.15087
268,4.15087
269,4.15087
270,4.15087
271,4.15087
272,4.15087
273,4.15087
274,4.15087
275,4.15087
276,4.15087
277,4.15087
278,4.15087
279,4.15087
280,4.15087
281,4.15087
282,4.15087
283,4.15087
284,4.15087
285,4.15087
286,4.15087
287,4.15087
288,4.15087
289,4.15087
290,4.15087
291,4.15087
292,4.15087
293,4.15087
294,4.15087
