# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.772e-4,-0.095,-9.541,0.096,9.593,-5.015e-5,0,5.015e-5,180,0.01,1.003,28.61,-80.6,9.792,86.745,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.307,NaN,0.006,3.614e5,3.946,1.717e-5,0.733,3.264e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.23e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,8.067e-4
0.02,-4.78e-4,-0.096,-9.561,0.096,9.614,-5.024e-5,0,5.024e-5,180,0.01,1.005,28.61,-80.6,9.792,86.751,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.306,NaN,0.006,3.614e5,3.399,1.708e-5,0.733,3.247e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.233e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,9.728e-4
0.03,-4.766e-4,-0.095,-9.532,0.096,9.584,-5.009e-5,0,5.009e-5,180,0.01,1.002,28.61,-80.6,9.792,86.742,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.306,NaN,0.006,3.614e5,4.196,1.722e-5,0.733,3.272e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.229e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.001
0.04,-4.78e-4,-0.096,-9.561,0.096,9.613,-5.024e-5,0,5.024e-5,180,0.01,1.005,28.61,-80.6,9.792,86.751,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.306,NaN,0.006,3.614e5,3.408,1.709e-5,0.733,3.247e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.233e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.001
0.05,-4.776e-4,-0.096,-9.552,0.096,9.605,-5.02e-5,0,5.02e-5,180,0.01,1.004,28.61,-80.6,9.792,86.748,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.306,NaN,0.006,3.614e5,3.638,1.712e-5,0.733,3.254e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.232e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.001
0.06,-4.772e-4,-0.095,-9.545,0.096,9.597,-5.016e-5,0,5.016e-5,180,0.01,1.003,28.61,-80.6,9.792,86.746,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.306,NaN,0.006,3.614e5,3.848,1.716e-5,0.733,3.261e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.231e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.001
0.07,-4.776e-4,-0.096,-9.552,0.096,9.604,-5.02e-5,0,5.02e-5,180,0.01,1.004,28.61,-80.6,9.792,86.748,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.306,NaN,0.006,3.614e5,3.653,1.713e-5,0.733,3.255e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.232e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.001
0.08,-4.766e-4,-0.095,-9.533,0.096,9.585,-5.01e-5,0,5.01e-5,180,0.01,1.002,28.61,-80.6,9.792,86.743,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.306,NaN,0.006,3.614e5,4.165,1.721e-5,0.733,3.271e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.229e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.09,-4.769e-4,-0.095,-9.538,0.096,9.59,-5.012e-5,0,5.012e-5,180,0.01,1.002,28.61,-80.6,9.792,86.744,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.305,NaN,0.006,3.614e5,4.039,1.719e-5,0.733,3.267e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.23e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.1,-4.775e-4,-0.096,-9.551,0.096,9.603,-5.019e-5,0,5.019e-5,180,0.01,1.004,28.61,-80.6,9.792,86.748,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.305,NaN,0.006,3.614e5,3.684,1.713e-5,0.733,3.256e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.232e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.11,-4.763e-4,-0.095,-9.525,0.096,9.578,-5.006e-5,0,5.006e-5,180,0.01,1.001,28.61,-80.6,9.792,86.74,0,0,0,2.721e4,1.35e4,19.76,0.099,NaN,183.305,NaN,0.006,3.614e5,4.369,1.724e-5,0.733,3.277e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.228e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.12,-4.773e-4,-0.095,-9.545,0.096,9.598,-5.016e-5,0,5.016e-5,180,0.01,1.003,28.61,-80.6,9.792,86.746,0,0,0,2.72e4,1.35e4,19.76,0.099,NaN,183.305,NaN,0.006,3.614e5,3.832,1.716e-5,0.733,3.261e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.231e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.13,-4.76e-4,-0.095,-9.521,0.096,9.573,-5.003e-5,0,5.003e-5,180,0.01,1.001,28.61,-80.6,9.792,86.739,0,0,0,2.72e4,1.35e4,19.76,0.099,NaN,183.305,NaN,0.006,3.614e5,4.497,1.727e-5,0.733,3.281e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.228e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.14,-4.765e-4,-0.095,-9.53,0.096,9.583,-5.008e-5,0,5.008e-5,180,0.01,1.002,28.61,-80.6,9.792,86.742,0,0,0,2.72e4,1.35e4,19.76,0.099,NaN,183.305,NaN,0.006,3.614e5,4.238,1.722e-5,0.733,3.273e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.229e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.15,-4.766e-4,-0.095,-9.533,0.096,9.585,-5.01e-5,0,5.01e-5,180,0.01,1.002,28.61,-80.6,9.792,86.743,0,0,0,2.72e4,1.35e4,19.76,0.099,NaN,183.304,NaN,0.006,3.614e5,4.165,1.721e-5,0.733,3.271e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.229e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.16,-4.754e-4,-0.095,-9.508,0.096,9.561,-4.997e-5,0,4.997e-5,180,0.01,0.999,28.61,-80.6,9.792,86.736,0,0,0,2.72e4,1.35e4,19.76,0.099,NaN,183.304,NaN,0.006,3.614e5,4.835,1.732e-5,0.733,3.292e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.226e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.17,-4.764e-4,-0.095,-9.528,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,28.61,-80.6,9.792,86.741,0,0,0,2.72e4,1.35e4,19.76,0.099,NaN,183.304,NaN,0.006,3.614e5,4.308,1.723e-5,0.733,3.276e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.229e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.002
0.18,-4.747e-4,-0.095,-9.494,0.095,9.547,-4.99e-5,0,4.99e-5,180,0.01,0.998,28.61,-80.6,9.792,86.732,0,0,0,2.72e4,1.35e4,19.76,0.099,NaN,183.304,NaN,0.006,3.614e5,5.219,1.739e-5,0.733,3.304e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.224e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.19,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,28.61,-80.6,9.792,86.738,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.304,NaN,0.006,3.614e5,4.595,1.728e-5,0.733,3.285e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.227e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.2,-4.751e-4,-0.095,-9.501,0.096,9.553,-4.993e-5,0,4.993e-5,180,0.01,0.999,28.61,-80.6,9.792,86.733,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.304,NaN,0.006,3.614e5,5.035,1.735e-5,0.733,3.298e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.225e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.21,-4.737e-4,-0.095,-9.474,0.095,9.526,-4.979e-5,0,4.979e-5,180,0.01,0.996,28.61,-80.6,9.792,86.726,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.303,NaN,0.006,3.614e5,5.782,1.748e-5,0.733,3.322e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.222e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.22,-4.745e-4,-0.095,-9.491,0.095,9.543,-4.988e-5,0,4.988e-5,180,0.01,0.998,28.61,-80.6,9.792,86.73,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.303,NaN,0.006,3.614e5,5.316,1.74e-5,0.733,3.307e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.224e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.23,-4.727e-4,-0.095,-9.454,0.095,9.506,-4.968e-5,0,4.968e-5,180,0.01,0.994,28.61,-80.6,9.792,86.72,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.303,NaN,0.006,3.614e5,6.314,1.757e-5,0.733,3.339e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.219e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.24,-4.741e-4,-0.095,-9.483,0.095,9.535,-4.984e-5,0,4.984e-5,180,0.01,0.997,28.61,-80.6,9.792,86.728,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.303,NaN,0.006,3.614e5,5.531,1.744e-5,0.733,3.314e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.223e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.25,-4.73e-4,-0.095,-9.461,0.095,9.513,-4.972e-5,0,4.972e-5,180,0.01,0.994,28.61,-80.6,9.792,86.722,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.302,NaN,0.006,3.614e5,6.14,1.754e-5,0.733,3.333e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.22e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.26,-4.721e-4,-0.094,-9.442,0.095,9.494,-4.962e-5,0,4.962e-5,180,0.01,0.992,28.61,-80.6,9.792,86.716,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.302,NaN,0.006,3.614e5,6.656,1.763e-5,0.733,3.35e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.218e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.27,-4.728e-4,-0.095,-9.455,0.095,9.507,-4.969e-5,0,4.969e-5,180,0.01,0.994,28.61,-80.6,9.792,86.72,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.302,NaN,0.006,3.614e5,6.293,1.757e-5,0.733,3.338e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.219e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.003
0.28,-4.708e-4,-0.094,-9.415,0.095,9.467,-4.948e-5,0,4.948e-5,180,0.01,0.99,28.61,-80.6,9.792,86.709,0,0,0,2.72e4,1.35e4,19.759,0.099,NaN,183.302,NaN,0.006,3.614e5,7.383,1.775e-5,0.733,3.373e-4,0.399,0.213,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.214e-5,16.6,216.424,84,0,2,15,1013.25,340.389,0.01,0.004
