# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,98.657,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.006,4.024e5,4.784,-3.25e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,2.04,15,1013.25,340.389,0.01,0.001
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,98.662,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.006,4.021e5,4.461,-3.251e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.038,15,1013.25,340.389,0.01,0.001
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,98.666,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.006,4.017e5,4.343,-3.249e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.036,15,1013.25,340.389,0.01,0.002
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,98.669,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.006,4.014e5,4.249,-3.248e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.034,15,1013.25,340.389,0.01,0.002
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,98.669,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.006,4.01e5,4.443,-3.243e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.033,15,1013.25,340.389,0.01,0.002
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,98.663,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.006,4.017e5,4.681,-3.245e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,2.036,15,1013.25,340.389,0.01,0.002
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,98.661,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.006,4.023e5,4.438,-3.253e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.039,15,1013.25,340.389,0.01,0.002
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,98.656,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.006,4.029e5,4.479,-3.257e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.042,15,1013.25,340.389,0.01,0.003
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,98.651,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.006,4.035e5,4.603,-3.261e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.045,15,1013.25,340.389,0.01,0.003
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,98.65,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.006,4.041e5,4.315,-3.269e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,2.049,15,1013.25,340.389,0.01,0.003
0.11,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,98.656,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.977,NaN,0.006,4.03e5,4.431,-3.259e-4,0.746,-0.006,0.411,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,2.043,15,1013.25,340.389,0.01,0.003
