# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,131.621,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,3.782e-4,2.525e4,4.784,-1.411e-4,1.178,-0.65,0.843,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,0.097,15,1013.25,340.389,0.01,0.002
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,131.495,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,3.795e-4,2.533e4,4.461,-1.41e-4,1.177,-0.645,0.842,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.097,15,1013.25,340.389,0.01,0.003
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,131.346,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,3.805e-4,2.54e4,4.343,-1.405e-4,1.177,-0.639,0.842,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,0.098,15,1013.25,340.389,0.01,0.004
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,131.194,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,3.816e-4,2.547e4,4.249,-1.4e-4,1.176,-0.634,0.841,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,0.098,15,1013.25,340.389,0.01,0.005
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,131.01,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,3.825e-4,2.553e4,4.443,-1.392e-4,1.175,-0.627,0.84,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.099,15,1013.25,340.389,0.01,0.006
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,130.809,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,3.834e-4,2.559e4,4.681,-1.382e-4,1.175,-0.62,0.84,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,0.099,15,1013.25,340.389,0.01,0.007
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,130.667,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,3.846e-4,2.568e4,4.438,-1.379e-4,1.174,-0.614,0.839,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.1,15,1013.25,340.389,0.01,0.007
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,130.492,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,3.857e-4,2.575e4,4.479,-1.372e-4,1.173,-0.608,0.838,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.1,15,1013.25,340.389,0.01,0.008
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,130.307,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,3.867e-4,2.581e4,4.603,-1.364e-4,1.172,-0.601,0.837,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.101,15,1013.25,340.389,0.01,0.009
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,130.173,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,3.88e-4,2.59e4,4.315,-1.362e-4,1.172,-0.596,0.837,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,0.101,15,1013.25,340.389,0.01,0.01
