# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,129.442,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,3.921e-4,2.618e4,4.784,-1.33e-4,1.169,-0.57,0.834,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,0.104,15,1013.25,340.389,0.01,0.002
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,129.396,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,3.929e-4,2.623e4,4.461,-1.332e-4,1.168,-0.568,0.833,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.104,15,1013.25,340.389,0.01,0.003
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,129.325,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,3.936e-4,2.627e4,4.343,-1.33e-4,1.168,-0.566,0.833,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,0.104,15,1013.25,340.389,0.01,0.004
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,129.252,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,3.942e-4,2.632e4,4.249,-1.328e-4,1.167,-0.563,0.832,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,0.104,15,1013.25,340.389,0.01,0.005
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,129.145,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,3.947e-4,2.635e4,4.443,-1.322e-4,1.167,-0.559,0.832,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.105,15,1013.25,340.389,0.01,0.006
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,128.917,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,3.959e-4,2.643e4,4.681,-1.312e-4,1.166,-0.552,0.831,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,0.105,15,1013.25,340.389,0.01,0.007
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,128.747,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,3.974e-4,2.653e4,4.438,-1.307e-4,1.165,-0.545,0.83,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.106,15,1013.25,340.389,0.01,0.008
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,128.546,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,3.988e-4,2.662e4,4.479,-1.299e-4,1.165,-0.538,0.829,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.107,15,1013.25,340.389,0.01,0.009
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,128.335,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,4.001e-4,2.671e4,4.603,-1.29e-4,1.164,-0.531,0.829,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,0.107,15,1013.25,340.389,0.01,0.01
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,128.175,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,4.017e-4,2.681e4,4.315,-1.287e-4,1.163,-0.526,0.828,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,0.108,15,1013.25,340.389,0.01,0.01
