# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-4.757e-4,-0.095,-9.511,0.096,9.563,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,85.161,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.994,NaN,0.014,9.207e5,4.784,2.829e-4,0.681,9.801e-4,0.346,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,4.704,15,1013.25,340.389,0.01,0.002
0.02,-4.761e-4,-0.095,-9.522,0.096,9.575,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,85.155,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.992,NaN,0.014,9.266e5,4.461,2.874e-4,0.68,9.831e-4,0.345,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,4.734,15,1013.25,340.389,0.01,0.002
0.03,-4.763e-4,-0.095,-9.526,0.096,9.579,-5.006e-5,0,5.006e-5,180,0.01,1.001,22.175,120.893,9.788,85.148,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.991,NaN,0.014,9.325e5,4.343,2.921e-4,0.68,9.865e-4,0.345,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,4.764,15,1013.25,340.389,0.01,0.002
0.04,-4.765e-4,-0.095,-9.53,0.096,9.582,-5.008e-5,0,5.008e-5,180,0.01,1.002,22.175,120.893,9.788,85.141,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.989,NaN,0.014,9.384e5,4.249,2.968e-4,0.68,9.9e-4,0.344,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,4.794,15,1013.25,340.389,0.01,0.003
0.05,-4.761e-4,-0.095,-9.523,0.096,9.575,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,85.133,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.988,NaN,0.014,9.443e5,4.443,3.018e-4,0.679,9.941e-4,0.344,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,4.824,15,1013.25,340.389,0.01,0.003
0.06,-4.757e-4,-0.095,-9.514,0.096,9.567,-5e-5,0,5e-5,180,0.01,1,22.175,120.893,9.788,85.144,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.986,NaN,0.014,9.347e5,4.681,2.942e-4,0.68,9.888e-4,0.345,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.293e-5,165,213.825,84,0,4.775,15,1013.25,340.389,0.01,0.003
0.07,-4.762e-4,-0.095,-9.523,0.096,9.576,-5.005e-5,0,5.005e-5,180,0.01,1.001,22.175,120.893,9.788,85.157,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.984,NaN,0.014,9.251e5,4.438,2.862e-4,0.681,9.821e-4,0.345,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,4.726,15,1013.25,340.389,0.01,0.004
0.08,-4.761e-4,-0.095,-9.522,0.096,9.574,-5.004e-5,0,5.004e-5,180,0.01,1.001,22.175,120.893,9.788,85.169,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.982,NaN,0.014,9.156e5,4.479,2.786e-4,0.681,9.76e-4,0.346,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,4.677,15,1013.25,340.389,0.01,0.004
0.09,-4.759e-4,-0.095,-9.517,0.096,9.57,-5.002e-5,0,5.002e-5,180,0.01,1,22.175,120.893,9.788,85.181,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.981,NaN,0.014,9.06e5,4.603,2.711e-4,0.682,9.7e-4,0.347,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.294e-5,165,213.825,84,0,4.629,15,1013.25,340.389,0.01,0.005
0.1,-4.764e-4,-0.095,-9.527,0.096,9.58,-5.007e-5,0,5.007e-5,180,0.01,1.001,22.175,120.893,9.788,85.194,0,0,0,2.8e4,1.35e4,19.963,0.106,NaN,2019.979,NaN,0.013,8.964e5,4.315,2.634e-4,0.683,9.628e-4,0.348,0.215,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.295e-5,165,213.825,84,0,4.58,15,1013.25,340.389,0.01,0.005
