Time (s),High (km),Vertical Speed (m/s)
0.01,-4.827e-7,-0.097
0.02,-4.835e-7,-0.097
0.03,-4.821e-7,-0.096
0.04,-4.835e-7,-0.097
0.05,-4.831e-7,-0.097
0.06,-4.827e-7,-0.097
0.07,-4.831e-7,-0.097
0.08,-4.822e-7,-0.096
0.09,-4.824e-7,-0.096
0.1,-4.83e-7,-0.097
0.11,-4.818e-7,-0.096
0.12,-4.827e-7,-0.097
0.13,-4.816e-7,-0.096
0.14,-4.82e-7,-0.096
0.15,-4.821e-7,-0.096
0.16,-4.809e-7,-0.096
0.17,-4.819e-7,-0.096
0.18,-4.803e-7,-0.096
0.19,-4.814e-7,-0.096
0.2,-4.806e-7,-0.096
0.21,-4.793e-7,-0.096
0.22,-4.801e-7,-0.096
0.23,-4.783e-7,-0.096
0.24,-4.797e-7,-0.096
0.25,-4.786e-7,-0.096
0.26,-4.777e-7,-0.096
0.27,-4.783e-7,-0.096
0.28,-4.764e-7,-0.095
0.29,-4.77e-7,-0.095
0.3,-4.76e-7,-0.095
0.31,-4.743e-7,-0.095
0.32,-4.745e-7,-0.095
0.33,-4.72e-7,-0.094
0.34,-4.716e-7,-0.094
0.35,-4.708e-7,-0.094
0.36,-4.675e-7,-0.093
0.37,-4.666e-7,-0.093
0.38,-4.636e-7,-0.093
0.39,-4.615e-7,-0.092
0.4,-4.596e-7,-0.092
0.41,-4.56e-7,-0.091
0.42,-4.534e-7,-0.091
0.43,-4.481e-7,-0.09
0.44,-4.441e-7,-0.089
0.45,-4.376e-7,-0.088
0.46,-4.295e-7,-0.086
0.47,-4.222e-7,-0.084
0.48,-4.071e-7,-0.081
0.49,-3.919e-7,-0.078
0.5,-3.721e-7,-0.074
0.51,-3.502e-7,-0.07
0.52,-3.299e-7,-0.066
0.53,-3.057e-7,-0.061
0.54,-2.826e-7,-0.057
0.55,-2.59e-7,-0.052
0.56,-2.331e-7,-0.047
0.57,-2.075e-7,-0.042
0.58,-1.796e-7,-0.036
0.59,-1.501e-7,-0.03
0.6,-1.14e-7,-0.023
0.61,-7.259e-8,-0.015
0.62,-2.242e-8,-0.004
0.63,3.908e-8,0.008
0.64,2.275e-7,0.03
0.65,7.246e-7,0.07
0.66,1.725e-6,0.131
0.67,3.469e-6,0.218
0.68,6.256e-6,0.339
0.69,1.046e-5,0.501
0.7,1.651e-5,0.709
0.71,2.488e-5,0.965
0.72,3.604e-5,1.267
0.73,5.043e-5,1.61
0.74,6.842e-5,1.989
0.75,9.035e-5,2.397
0.76,1.165e-4,2.829
0.77,1.47e-4,3.279
0.78,1.821e-4,3.739
0.79,2.218e-4,4.206
0.8,2.662e-4,4.675
0.81,3.153e-4,5.143
0.82,3.691e-4,5.611
0.83,4.275e-4,6.078
0.84,4.906e-4,6.543
0.85,5.584e-4,7.008
0.86,6.308e-4,7.475
0.87,7.079e-4,7.943
0.88,7.897e-4,8.414
0.89,8.762e-4,8.886
0.9,9.674e-4,9.36
0.91,0.001,9.836
0.925,0.001,10.552
0.948,0.001,11.629
0.981,0.002,13.274
1.031,0.003,15.779
1.081,0.003,18.331
1.131,0.004,20.943
1.181,0.006,23.599
1.231,0.007,26.317
1.281,0.008,29.09
1.331,0.01,31.907
1.381,0.011,34.77
1.431,0.013,37.699
1.481,0.015,40.685
1.531,0.017,43.741
1.581,0.02,46.88
1.631,0.022,50.116
1.681,0.025,53.427
1.731,0.027,56.777
1.781,0.03,60.166
1.831,0.033,63.533
1.881,0.037,66.776
1.931,0.04,70.007
1.981,0.044,73.342
2.031,0.047,76.779
2.081,0.051,80.326
2.131,0.055,83.909
2.181,0.06,87.494
2.231,0.064,91.111
2.281,0.069,94.773
2.331,0.074,98.436
2.381,0.079,102.136
2.431,0.084,105.886
2.481,0.089,109.695
2.531,0.095,113.538
2.581,0.101,117.399
2.631,0.107,121.261
2.681,0.113,125.121
2.731,0.119,128.972
2.781,0.126,132.821
2.831,0.132,136.631
2.881,0.139,140.325
2.931,0.146,143.915
2.981,0.154,147.404
3.031,0.161,150.749
3.081,0.169,153.919
3.131,0.176,156.89
3.181,0.184,159.572
3.231,0.192,161.883
3.281,0.201,163.811
3.331,0.209,165.312
3.381,0.217,166.372
3.431,0.225,167.056
3.481,0.234,167.39
3.531,0.242,167.388
3.581,0.251,167.136
3.631,0.259,166.69
3.681,0.267,166.085
3.731,0.275,165.342
3.781,0.284,164.485
3.831,0.292,163.559
3.881,0.3,162.594
3.931,0.308,161.613
3.981,0.316,160.625
4,0.319,160.254
4.028,0.324,159.68
4.07,0.33,158.825
4.12,0.338,157.818
4.17,0.346,156.818
4.22,0.354,155.826
4.27,0.362,154.842
4.32,0.37,153.865
4.37,0.377,152.895
4.42,0.385,151.931
4.47,0.392,150.975
4.52,0.4,150.024
4.57,0.407,149.079
4.62,0.415,148.141
4.67,0.422,147.209
4.72,0.43,146.283
4.77,0.437,145.363
4.82,0.444,144.449
4.87,0.451,143.541
4.92,0.458,142.639
4.97,0.466,141.743
5.02,0.473,140.852
5.07,0.48,139.968
5.12,0.487,139.088
5.17,0.494,138.214
5.22,0.5,137.346
5.27,0.507,136.482
5.32,0.514,135.624
5.37,0.521,134.771
